_id,tipo_usuario,nm_usuario,ch_cnpj_usuario,nr_celular_usuario,sg_estado_usuario,nm_cidade_usuario,cd_foto_usuario,cd_senha_usuario,cd_email_usuario,fg_admin,qt_advertencias_usuario,fg_usuario_deletado,ch_cpf_usuario,dt_nascimento_usuario
673e418eebd8e8b395d9b131,pj,Sapatos LTDA,101010101010,121212121,BA,Xique-Xique,default.png,$2b$12$b5PvnF9FqU5g6jRoiKu8IOdHD57e//e9XhNMtjdwmkLsEGIfFbzQi,s@gmail.com,0,0,0,,
673e3f5bc4dd0fbddbf30589,pf,Maria Santos,,11901234567,RJ,Rio de Janeiro,2.png,$2a$12$qYnfcan1eAudlxLP0mfxVeNk8Qnu8PHwhirai94t1F8ppGtG3eNw2,maria@example.com,0,0,0,98765432109,1985-12-10 00:00:00
673e3f5bc4dd0fbddbf3058a,pf,Pedro Oliveira,,11955556666,MG,Belo Horizonte,3.png,$2a$12$qYnfcan1eAudlxLP0mfxVeNk8Qnu8PHwhirai94t1F8ppGtG3eNw2,pedro@example.com,0,0,0,45678901234,1978-08-20 00:00:00
673e3f5bc4dd0fbddbf3058b,pj,Empresa ABC Ltda,12345678901234,11999998888,SP,São Paulo,4.png,$2a$12$qYnfcan1eAudlxLP0mfxVeNk8Qnu8PHwhirai94t1F8ppGtG3eNw2,empresa@example.com,0,0,0,,
673e4089ebd8e8b395d9b121,pf,r,,1212121212,SP,Franca,default.png,$2b$12$b5PvnF9FqU5g6jRoiKu8IOdHD57e//e9XhNMtjdwmkLsEGIfFbzQi,r@gmail.com,0,0,0,12312312312,2000-12-12 00:00:00
673e3f5bc4dd0fbddbf3058c,pj,Comércio XYZ Ltda,98765432109876,11888887777,RJ,Rio de Janeiro,default.png,$2a$12$qYnfcan1eAudlxLP0mfxVeNk8Qnu8PHwhirai94t1F8ppGtG3eNw2,comercio@example.com,0,0,0,,
673e3f5bc4dd0fbddbf30588,pf,Yago Silva,,11987654321,SP,São Paulo,1.png,$2a$12$qYnfcan1eAudlxLP0mfxVeNk8Qnu8PHwhirai94t1F8ppGtG3eNw2,yago@email.com,0,0,0,12345678901,1990-05-15 00:00:00
69c5efe49f86baf046e1b625,pf,Teste Netlify,,12121212121,RJ,Cantagalo,default.png,$2b$12$4Hh16YO5E6gjkb1Q0ccaBubVHYXd6UR8WlwVR6ptKLWowc.g5iaAG,netlify@gmail.com,0,0,0,12121212122,2000-04-06 00:00:00
69c7072ba75520b26cb936f7,pf,Frederico Pessoa Barbosa,,16992640134,SP,Franca,default.png,$2b$12$NVPOPQiYKAZzqrj3Nk4VpebJ0boKQbiB.s.9mWRE5KXZFR.ZjPxCy,frederico@gmail.com,0,0,0,11111111111,2003-05-31 00:00:00
69c728f34d93cfae68784f85,pf,Yago Mouro,,11111111111,MT,Aripuanã,default.png,$2b$12$tVPV.agM9F5/BdKMsXD90.Ofxuoj8sWsF/H9QDn5VT3w/tb.UPcO2,yago@gmail.com,0,0,0,11111111112,2026-03-05 00:00:00
69f14030aae2dfb2ec2a340c,pf,Teste33,,11212121212,RJ,Cardoso Moreira,default.png,$2b$12$cT9q3rJzUuzgk.91e8ArQOIPYMcLDaJ94jrA/f2s/Op2Dc6ukObNC,teste33@gmail.com,0,0,0,12121212121,2026-04-17 00:00:00
69f15962aae2dfb2ec2a3410,pf,Teste 2,,66666666666,RJ,Belford Roxo,default.png,$2b$12$a8kR6p9G8vRNxZx9kwkBE.8o4wEgWxZPWaeldeTFtvBEr9MJlbtPq,teste2@gmail.com,0,0,0,33333333333,2000-10-10 00:00:00
69f15c8faae2dfb2ec2a3411,pf,Frederico Barbosa,,(16) 99999-9999,SP,Franca,default.png,$2b$12$k5fU2.13w5TILB.HPntqk.MEnilu5jOgzJY./Nb7G8HpV4WrTcjJi,fredericopessoa13@gmail.com,0,0,0,44444444444,2003-05-31 00:00:00
6a2364f24fa406e15e209691,pf,Teste Claude,,(11) 99999-0000,SP,Sao Paulo,default.png,$2b$12$081nnOmN/fracRGfKrpb7OPDqFcAESWYeubRwCM1zGAPU.w9Xj28W,teste.claude@teste.com,0,0,0,123.456.789-09,2000-01-01 00:00:00
6a23684ed048b6bf20815a22,pf,Ana Silva,,11956272734,PI,Teresina,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,ana.silva0@hotmail.com,0,0,0,97320815774,1976-03-08 00:00:00
6a23684ed048b6bf20815a23,pf,João Oliveira,,92983893513,ES,Vitória,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,joao.oliveira1@hotmail.com,0,0,0,35897207145,1998-08-19 00:00:00
6a23684ed048b6bf20815a24,pf,Maria Santos,,41978978457,PA,Belém,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,maria.santos2@outlook.com,0,0,0,29196133218,1965-03-03 00:00:00
6a23684ed048b6bf20815a25,pf,Pedro Costa,,41925310463,MG,Belo Horizonte,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,pedro.costa3@yahoo.com.br,0,0,0,66326702503,1979-12-18 00:00:00
6a23684ed048b6bf20815a26,pf,Carla Ferreira,,92904985091,PI,Teresina,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,carla.ferreira4@uol.com.br,0,0,0,72837715674,1963-03-26 00:00:00
